graph_mode,window,model,experiment,test_MSE,test_RMSE,test_MAE,test_IC,test_DailyIC,test_ICIR,test_DirAcc,test_IC_ind,test_DailyIC_ind,test_ICIR_ind,strategy_n,strategy_total_return,strategy_cagr,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_hit_rate,strategy_max_drawdown,excess_total_return,excess_annual_return,excess_sharpe,benchmark_total_return,benchmark_sharpe,alignment_start,alignment_end
static,medium,gat_industry,static/medium/gat_industry,0.002682325430214405,0.05179117135395187,0.03450297191739082,0.09333417448660658,0.09206049204772941,0.9343880405669617,0.5374604445440782,0.09759797551136619,0.09714082156318128,1.1545726703720578,33,0.3606894554282698,0.6006135981119469,0.5107974429509009,0.27887216886764804,1.831654427994656,0.696969696969697,-0.12538835073190002,0.43554097061334773,0.5966807329757045,2.1609952833310366,-0.07485151518507793,-0.32934085533638036,2022-05-16,2022-12-29
static,medium,gat_two_graph_no_neutral,static/medium/gat_two_graph_no_neutral,0.0025048761162906885,0.05004873740955598,0.03301924467086792,0.08964166453103187,0.08957274983723762,0.7728373081497015,0.5490937784111631,0.09780165224670226,0.09716232970915184,1.0136173852232708,33,0.3612211041330726,0.6015688404664519,0.5179871571292592,0.30163551362022933,1.7172618400014563,0.696969696969697,-0.1334724273554616,0.43607261931815056,0.6038704471540628,2.0466026953378367,-0.07485151518507793,-0.32934085533638036,2022-05-16,2022-12-29
static,medium,dmfm_ind_neutral,static/medium/dmfm_ind_neutral,0.005581697914749384,0.07471076170639264,0.05840495601296425,0.08502577167848664,0.08378439837100742,0.7855927851773902,0.5583475400269367,0.09258853233084209,0.09109312453384211,1.04347729391841,33,0.3499454512816993,0.5813514767440728,0.5037568710236388,0.29712719797651677,1.6954249710369926,0.696969696969697,-0.12780098052362643,0.4247969664667772,0.5896401610484423,2.0247658263733728,-0.07485151518507793,-0.32934085533638036,2022-05-16,2022-12-29
static,medium,dmfm_full,static/medium/dmfm_full,0.010290741920471191,0.10144329411287466,0.0720185786485672,0.07944781398673746,0.07846787789449934,0.7641548654960387,0.5339947585573755,0.08436139826720677,0.0842461590302064,0.9643244050857891,33,0.31583850946979397,0.5207396463031286,0.46221860913898455,0.2901372569857745,1.5931032571995647,0.6666666666666666,-0.12781128221894023,0.3906900246548719,0.5481018991637882,1.922444112535945,-0.07485151518507793,-0.32934085533638036,2022-05-16,2022-12-29
dynamic,medium,mlp,dynamic/medium/mlp,0.003038646187633276,0.055123916657230335,0.036790214478969574,0.0883675676738219,0.0877171720931627,0.9342840855566367,0.5534641025230447,0.09132596094566467,0.0904937755366113,1.022042344423828,33,0.3165231745131638,0.5219483131048923,0.4597709389572794,0.2780146250048282,1.653765297236772,0.6363636363636364,-0.12662414305272085,0.39137468969824174,0.5456542289820829,1.9831061525731524,-0.07485151518507793,-0.32934085533638036,2022-05-16,2022-12-29
dynamic,medium,gat_universe,dynamic/medium/gat_universe,0.0026792632415890694,0.0517616000678985,0.034100040793418884,0.08657131341795168,0.08667614039214315,0.8538185368311635,0.5577401304845221,0.09102733537000102,0.08948574564092511,0.9768084452317783,33,0.38309651735057093,0.6410437639665667,0.5383561157452113,0.2884696484749956,1.8662487322019796,0.696969696969697,-0.11698323780084385,0.45794803253564886,0.6242394057700148,2.19558958753836,-0.07485151518507793,-0.32934085533638036,2022-05-16,2022-12-29
dynamic,medium,gat_industry,dynamic/medium/gat_industry,0.010893305763602257,0.10437100058733871,0.09394210577011108,0.07993226823957152,0.07976301011314565,0.884685458914433,0.44613433821004556,0.08307954779358047,0.08337992447803486,1.063420128445503,33,0.3303968910755801,0.5465114438649188,0.48010307779662653,0.2924804357415804,1.6414878368849917,0.696969696969697,-0.13884551365388775,0.40524840626065806,0.5659863678214301,1.970828692221372,-0.07485151518507793,-0.32934085533638036,2022-05-16,2022-12-29
dynamic,medium,gat_two_graph_no_neutral,dynamic/medium/gat_two_graph_no_neutral,0.009463057853281498,0.09727824964133297,0.08892460912466049,0.08925152571668898,0.09038525637726433,0.8315783385404851,0.4435440763336234,0.09536302520875209,0.09467848737092972,1.0658307483012337,33,0.33530474314737013,0.5552331591198763,0.48493996019559826,0.28974306307527187,1.6736896305593918,0.7272727272727273,-0.1213676073343043,0.41015625833244806,0.5708232502204018,2.0030304858957724,-0.07485151518507793,-0.32934085533638036,2022-05-16,2022-12-29
dynamic,medium,dmfm_ind_neutral,dynamic/medium/dmfm_ind_neutral,0.008136983029544353,0.0902052272850324,0.07475627213716507,0.08863635697815596,0.08789883169913175,0.9035599096742009,0.4601465682428356,0.09126209581266441,0.09057709398180949,1.0587953920226711,33,0.35157702601691687,0.5842714178417998,0.5061807925114408,0.29870675640450056,1.6945742995715323,0.6363636363636364,-0.1316612942716061,0.4264285412019948,0.5920640825362443,2.023915154907913,-0.07485151518507793,-0.32934085533638036,2022-05-16,2022-12-29
dynamic,medium,dmfm_full,dynamic/medium/dmfm_full,0.0077980514615774155,0.08830657654771482,0.062108948826789856,0.0886987201915456,0.08944120488272167,0.9106991910009384,0.53369190778904,0.09175481807491448,0.09228545910439419,1.0964876554782201,33,0.34204811926211076,0.5672443609201936,0.4931705963162875,0.29138491242505643,1.69250560096563,0.696969696969697,-0.1352010527655908,0.4168996344471887,0.5790538863410911,2.0218464563020104,-0.07485151518507793,-0.32934085533638036,2022-05-16,2022-12-29
